condition,n_nodes,seed,cost_alpha,k_ties,n_qubits,n_terms,n_approximate_terms,fully_connected,cx_count,depth,unsafe_rate,mean_feasible_mass,worst_feasible_mass
long_linear,30,0,0.1,5,34,106,102,True,356,538,0.0,1.0,1.0
long_linear,30,1,0.1,5,34,80,79,True,200,207,0.0,1.0,1.0
long_linear,30,2,0.1,5,34,104,97,True,728,1289,0.01,0.9987,0.8692
long_linear,60,0,0.03,9,68,210,98,True,10904,17781,0.35,0.9534,0.6568
long_linear,60,1,0.03,9,68,169,100,True,7772,12989,0.21,0.9756,0.7556
long_linear,60,2,0.03,9,68,212,98,True,11120,18004,0.47,0.9233,0.5709
long_linear,60,0,0.1,9,68,210,98,True,10744,17613,0.35,0.9534,0.6568
long_linear,60,1,0.1,9,68,169,100,True,6876,11583,0.19,0.9756,0.7556
long_linear,60,2,0.1,9,68,212,98,True,10960,18013,0.44,0.9272,0.5709
long_linear,100,0,0.03,15,114,145,47,True,9612,16194,0.28,0.9735,0.7541
long_linear,100,1,0.03,15,114,156,49,True,10352,16213,0.78,0.8565,0.5709
long_linear,100,2,0.03,15,114,155,58,True,8992,14475,0.65,0.8429,0.4608
long_linear,100,0,0.1,15,114,145,47,True,9204,15235,0.27,0.9733,0.7541
long_linear,100,1,0.1,15,114,156,49,True,9648,15042,0.78,0.8565,0.5709
long_linear,100,2,0.1,15,114,155,58,True,8912,14316,0.65,0.8429,0.4608
long_linear,150,0,0.03,23,172,151,35,True,10824,17042,0.45,0.9411,0.6568
long_linear,150,1,0.03,23,172,217,40,True,15900,25379,0.51,0.9298,0.656
long_linear,150,2,0.03,23,172,176,44,True,11760,17999,0.49,0.9205,0.5709
long_linear,150,0,0.1,23,172,151,35,True,10144,16066,0.45,0.9409,0.6568
long_linear,150,1,0.1,23,172,217,40,True,15144,24431,0.51,0.9297,0.656
long_linear,150,2,0.1,23,172,176,44,True,11552,17618,0.48,0.9241,0.5709
