condition,n_nodes,seed,k_ties,n_qubits,num_spanning_trees,term_count,max_witness_size,dropped_candidates,fully_connected,cx_count,total_gate_count,depth,measurement_seconds
fixed,38,0,3,40,24,6,1,0,True,132,413,271,0.0261
fixed,38,1,3,40,24,6,1,0,True,132,412,270,0.0390
fixed,38,2,3,40,16,5,2,0,True,528,1519,1082,0.0469
log,38,0,5,42,180,10,2,0,True,476,1330,864,1.4376
log,38,1,5,42,192,10,1,0,True,256,789,270,2.1389
log,38,2,5,42,120,9,4,0,True,3126,8673,6068,3.0612
fixed,39,0,3,41,24,6,1,0,True,132,413,271,0.0275
fixed,39,1,3,41,24,6,1,0,True,132,412,270,0.0416
fixed,39,2,3,41,16,5,2,0,True,528,1519,1082,0.0514
log,39,0,5,43,180,10,2,0,True,476,1330,864,1.6207
log,39,1,5,43,216,10,1,0,True,148,482,270,2.3534
log,39,2,5,43,120,9,4,0,True,3126,8673,6068,3.5920
fixed,40,0,3,42,24,6,1,0,True,132,413,271,0.0287
fixed,40,1,3,42,24,6,1,0,True,132,412,270,0.0437
fixed,40,2,3,42,16,5,2,0,True,528,1519,1082,0.0538
log,40,0,5,44,180,10,2,0,True,476,1330,864,1.8043
log,40,1,5,44,216,10,1,0,True,148,482,270,2.6339
log,40,2,5,44,144,9,2,0,True,544,1589,1082,1.9683
