tie1,open1,tie2,open2,cycles_overlap,exact_loss,surrogate_loss,abs_err,rel_err,max_flow_err
11,1,17,10,True,52.13198001000003,77.41484346000003,25.28286345,0.4849780009343633,0.6750000000000003
11,1,17,1,True,52.13198001000003,232.3954847400001,180.26350473000005,3.4578296219599114,3.255000000000001
11,1,17,26,True,61.20878189250002,58.04672072250003,3.162061169999994,0.0516602531897052,0.0900000000000003
11,2,17,15,True,24.6794512725,17.5849998825,7.09445139,0.2874639031340724,0.5100000000000002
11,2,17,14,True,24.95506599,17.31044271,7.644623280000001,0.3063355265445243,0.5550000000000002
11,2,17,12,True,25.36888185,17.00981907,8.359062780000002,0.3295006389885489,0.6150000000000002
11,2,17,10,True,25.83564579,16.783998390000004,9.051647399999997,0.3503549891330197,0.675
11,2,17,2,True,25.36888185,31.163507482500002,5.794625632500001,0.2284147037603867,0.9750000000000001
11,2,17,26,True,23.850547672500003,25.266421282500005,1.415873610000002,0.05936440661413084,0.0900000000000003
11,24,17,15,True,23.161551142500002,16.7129494725,6.448601670000002,0.2784183852940324,0.5100000000000002
11,24,17,14,True,23.420965860000003,16.479179040000002,6.941786820000001,0.2963919960216363,0.5550000000000002
11,24,17,12,True,23.813181720000003,16.232937720000002,7.580244,0.31832134357894615,0.6150000000000002
11,24,17,10,True,24.258345660000003,16.061499360000006,8.196846299999997,0.33789799250473684,0.675
11,24,17,24,True,23.813181720000003,27.450484852500004,3.6373031325000014,0.15274326527501092,0.885
11,24,17,26,True,22.548647542500003,23.850547672500007,1.3019001300000035,0.05773739323150819,0.0900000000000003
11,25,17,15,True,21.757624492500003,15.954872542500002,5.802751950000001,0.26669970115534664,0.5100000000000002
11,25,17,14,True,22.000839210000006,15.761888850000004,6.238950360000002,0.2835778353929437,0.5550000000000002
11,25,17,12,True,22.371455070000003,15.570029850000003,6.8014252200000005,0.30402247858793385,0.6150000000000002
11,25,17,10,True,22.795019010000004,15.452973810000007,7.342045199999998,0.322089891514418,0.675
11,25,17,25,True,22.371455070000003,24.182889322500007,1.8114342525000033,0.08097078383288205,0.7949999999999999
11,25,17,26,True,21.360720892500005,22.54864754250001,1.187926650000005,0.055612666631354175,0.0900000000000003
11,9,23,22,True,15.1829717825,15.313224912499999,0.13025312999999983,0.008578895611867665,0.0900000000000003
11,9,23,21,True,15.292914762499999,15.462859512499998,0.1699447499999991,0.011112646126605199,0.15000000000000036
11,9,23,20,True,15.540618942500002,15.712540272500002,0.17192132999999998,0.011062708032164335,0.2100000000000002
11,9,23,19,True,15.926084322500003,16.062267192500006,0.1361828700000025,0.008550932372473157,0.27000000000000024
